epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4655.28,0.48828,0.34806,0.94065,0.78575,0.9955,0.87309,0.63604,0.64632,0.18243,0.83774,0.000665057,0.000665057,0.000665057
56,4738.08,0.4982,0.35122,0.94084,0.85461,0.99775,0.95266,0.61213,0.66088,0.19538,0.8384,0.000650909,0.000650909,0.000650909
57,4821.02,0.49403,0.34313,0.95827,0.85304,0.95563,0.86947,0.5659,0.65749,0.19221,0.83774,0.000636762,0.000636762,0.000636762
58,4904.12,0.47514,0.33233,0.93058,0.61789,0.83108,0.69585,0.51967,0.66157,0.18464,0.83846,0.000622615,0.000622615,0.000622615
59,4987.12,0.46706,0.30591,0.93438,0.86006,0.99775,0.91191,0.58351,0.66851,0.18712,0.83872,0.000608468,0.000608468,0.000608468
60,5069.83,0.477,0.31603,0.93407,0.93088,0.82658,0.89983,0.61075,0.65972,0.18894,0.83905,0.000594321,0.000594321,0.000594321
61,5152.74,0.46907,0.30908,0.93411,0.93985,0.99775,0.99399,0.6829,0.64156,0.18842,0.83552,0.000580174,0.000580174,0.000580174
62,5235.23,0.46952,0.30227,0.93044,0.98675,0.97755,0.99406,0.62702,0.64348,0.19746,0.83511,0.000566027,0.000566027,0.000566027
63,5317.69,0.45693,0.30633,0.93351,0.86352,0.97414,0.9527,0.59193,0.63903,0.18455,0.83472,0.00055188,0.00055188,0.00055188
64,5400.24,0.45719,0.30749,0.93186,0.99363,0.96033,0.99407,0.68966,0.64064,0.18832,0.83507,0.000537733,0.000537733,0.000537733
65,5482.71,0.45721,0.30329,0.92554,0.96718,0.99775,0.99416,0.63196,0.64209,0.18445,0.8365,0.000523586,0.000523586,0.000523586
66,5565.16,0.45145,0.29886,0.93045,0.98889,0.98395,0.99428,0.58923,0.63122,0.18316,0.83607,0.000509438,0.000509438,0.000509438
67,5647.49,0.45008,0.29167,0.92741,0.9555,0.98905,0.99387,0.597,0.63606,0.19265,0.8368,0.000495291,0.000495291,0.000495291
68,5730.23,0.42572,0.28538,0.9269,0.86049,0.9955,0.95269,0.5988,0.63626,0.19096,0.83469,0.000481144,0.000481144,0.000481144
69,5812.91,0.4455,0.28866,0.92599,0.85649,0.9666,0.95302,0.61129,0.62177,0.18287,0.83376,0.000466997,0.000466997,0.000466997
70,5895.45,0.44373,0.28484,0.93258,0.96122,0.82658,0.92812,0.5836,0.61877,0.17818,0.83469,0.00045285,0.00045285,0.00045285
71,5977.91,0.43454,0.27854,0.92257,0.99104,0.83043,0.92812,0.56731,0.61462,0.17356,0.83428,0.000438703,0.000438703,0.000438703
72,6060.36,0.43612,0.27491,0.92491,0.71974,0.99775,0.82898,0.58295,0.6312,0.18796,0.83578,0.000424556,0.000424556,0.000424556
73,6142.83,0.42998,0.26986,0.92382,0.80457,0.82883,0.84495,0.61637,0.61625,0.17828,0.83465,0.000410409,0.000410409,0.000410409
